"data_usage_mb","call_duration_min","plan_type","dropped_calls","app_frequency","app_category","device_type","region_x","age","gender","arpu","tenure_months","amount","payment_mode","recharge_channel","successful","price","validity_days","data_limit_gb","sms_limit","plan_category","promo_offer","latitude","longitude","network_type","signal_strength_dbm","outage_flag","monthly_data_gb","monthly_calls_min","usage_category","complaint_flag_num"
2669,42.81326646,"Postpaid",3,34,"Social","Feature","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
1151,11.3929388,"Basic",3,30,"Utility","iOS","Hyderabad",45,"Female",445,56,499,"Wallet","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",40.96977913,117.739484,"High",0
1584,10.6739257,"Basic",0,32,"Streaming","iOS","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",40.21758863,124.3863933,"High",1
2693,7.536181127,"Postpaid",1,45,"Social","Android","Hyderabad",31,"Female",278,42,799,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",22.52453984,962.7644596,"Medium",0
500,33.31330299,"Postpaid",4,34,"Gaming","Android","Bangalore",33,"Female",874,22,399,"Wallet","Retail Store","Yes",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",12.3555904,687.4714971,"Medium",1
2837,26.65478279,"Postpaid",0,33,"Social","iOS","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",52.3711426,538.6880784,"High",0
727,5.618018495,"Unlimited",3,38,"Gaming","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",56.77576408,226.9736639,"High",1
1815,3.66989358,"Unlimited",2,37,"Gaming","Android","Bangalore",26,"Male",366,47,299,"Cash","App","Yes",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",23.05743431,130.8052997,"Medium",1
1135,43.22420352,"Premium",3,24,"Utility","Feature","Chennai",37,"Female",962,39,399,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.8892637,160.4578599,"High",1
1226,5.669940995,"Basic",4,32,"Shopping","iOS","Bangalore",26,"Male",366,47,799,"Card","Retail Store","Yes",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",23.05743431,130.8052997,"Medium",1
1350,31.90267829,"Basic",0,18,"Gaming","iOS","Chennai",37,"Female",962,39,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",28.7,77.1,"4G",-81,"Yes",30.8892637,160.4578599,"High",1
1508,11.80121199,"Postpaid",0,13,"Utility","Feature","Hyderabad",45,"Female",445,56,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",40.96977913,117.739484,"High",0
334,32.35075381,"Prepaid",3,9,"Utility","Android","Chennai",43,"Female",306,13,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",9.672020245,910.5150711,"Low",1
1795,25.77440283,"Prepaid",3,11,"Gaming","iOS","Bangalore",33,"Female",874,22,799,"Card","Website","No",299,28,10,300,"Standard","15% Off",12.9,77.5,"4G",-57,"No",12.3555904,687.4714971,"Medium",1
1181,5.373624398,"Premium",4,26,"Shopping","Feature","Bangalore",26,"Male",366,47,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",23.05743431,130.8052997,"Medium",1
2544,11.22733215,"Postpaid",1,35,"Social","Android","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",52.3711426,538.6880784,"High",0
179,24.69114769,"Premium",2,37,"Streaming","iOS","Chennai",37,"Female",962,39,799,"UPI","App","Yes",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.8892637,160.4578599,"High",1
950,23.20010328,"Postpaid",4,5,"Utility","Android","Mumbai",26,"Female",190,14,299,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",16.95748576,225.4204667,"Medium",1
1380,5.63423133,"Unlimited",2,15,"Shopping","Feature","Chennai",34,"Male",797,40,399,"UPI","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",19,72.8,"5G",-72,"No",36.98282235,320.8141987,"High",1
897,29.73944457,"Premium",0,5,"Social","iOS","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",6.95949479,287.0976296,"Low",1
492,32.55850426,"Unlimited",1,42,"Streaming","iOS","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",40.21758863,124.3863933,"High",1
1540,30.01384519,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,499,"Card","Website","Yes",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.3711426,538.6880784,"High",0
1782,33.21609419,"Unlimited",2,20,"Shopping","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",56.77576408,226.9736639,"High",1
1028,19.681889,"Postpaid",4,28,"Gaming","iOS","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",50.12502462,285.7791446,"High",1
813,26.25049896,"Prepaid",0,39,"Utility","Android","Chennai",34,"Male",797,40,799,"Card","Retail Store","Yes",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",36.98282235,320.8141987,"High",1
1540,30.01384519,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,499,"Card","Website","Yes",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.3711426,538.6880784,"High",0
2209,23.3521312,"Premium",0,22,"Gaming","iOS","Hyderabad",31,"Female",642,12,799,"Card","App","Yes",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",31.72254404,767.5182498,"High",1
2909,42.13776125,"Postpaid",0,5,"Utility","Android","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",14.73161045,977.0925387,"Medium",1
2394,4.051793491,"Unlimited",1,16,"Shopping","Feature","Hyderabad",35,"Female",913,44,799,"Card","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",12.9,77.5,"4G",-57,"No",25.74587583,596.8424628,"High",1
567,43.68722863,"Premium",3,15,"Gaming","Feature","Delhi",21,"Male",212,45,299,"UPI","App","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",34.85146914,528.445362,"High",1
640,11.83832112,"Premium",2,22,"Streaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",40.21758863,124.3863933,"High",1
706,43.43565901,"Prepaid",0,21,"Utility","Feature","Bangalore",24,"Female",202,38,799,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",28.7,77.1,"4G",-81,"Yes",52.8337564,678.6330073,"High",1
1382,2.298941613,"Unlimited",2,9,"Utility","Android","Hyderabad",45,"Female",445,56,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",40.96977913,117.739484,"High",0
2895,7.48595302,"Unlimited",0,37,"Gaming","Android","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",27.35721699,923.9623096,"High",1
1192,6.048750496,"Prepaid",3,5,"Streaming","Feature","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
135,36.3266927,"Basic",0,8,"Gaming","Android","Bangalore",38,"Male",941,10,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",49.41172658,407.6356165,"High",1
1734,11.82765094,"Prepaid",1,48,"Social","Feature","Hyderabad",32,"Female",869,13,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",28.7,77.1,"4G",-81,"Yes",59.34626935,642.877662,"High",1
1857,7.991252539,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,799,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863,124.3863933,"High",1
1569,39.7634887,"Unlimited",1,28,"Gaming","Android","Chennai",25,"Male",670,28,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",19,72.8,"5G",-72,"No",36.82997791,698.5330071,"High",1
615,28.48160007,"Prepaid",1,49,"Gaming","Android","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
1619,39.11495645,"Unlimited",3,17,"Social","iOS","Chennai",43,"Female",306,13,299,"Wallet","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",9.672020245,910.5150711,"Low",1
1269,5.737572388,"Unlimited",1,47,"Streaming","iOS","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",27.35721699,923.9623096,"High",1
2725,28.84722407,"Premium",0,6,"Shopping","iOS","Hyderabad",45,"Female",445,56,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",40.96977913,117.739484,"High",0
1115,18.18792478,"Unlimited",0,18,"Shopping","Feature","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",50.12502462,285.7791446,"High",1
227,18.02553529,"Premium",1,31,"Utility","Android","Bangalore",24,"Female",202,38,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",19,72.8,"5G",-72,"No",52.8337564,678.6330073,"High",1
1269,5.737572388,"Unlimited",1,47,"Streaming","iOS","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",27.35721699,923.9623096,"High",1
1056,11.64358031,"Premium",0,4,"Shopping","Feature","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",6.95949479,287.0976296,"Low",1
500,33.31330299,"Postpaid",4,34,"Gaming","Android","Bangalore",33,"Female",874,22,399,"Wallet","Retail Store","Yes",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",12.3555904,687.4714971,"Medium",1
1585,38.50329444,"Premium",4,26,"Gaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",12.9,77.5,"4G",-57,"No",40.21758863,124.3863933,"High",1
1357,16.51745237,"Premium",2,32,"Social","iOS","Hyderabad",45,"Female",445,56,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",40.96977913,117.739484,"High",0
1053,28.58337672,"Premium",4,38,"Shopping","Feature","Chennai",43,"Female",306,13,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",9.672020245,910.5150711,"Low",1
2365,34.82467019,"Prepaid",4,39,"Utility","iOS","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
2845,11.86397407,"Prepaid",3,28,"Utility","Android","Hyderabad",45,"Male",214,38,199,"Cash","Retail Store","Yes",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",50.12502462,285.7791446,"High",1
2908,25.56279098,"Basic",4,9,"Gaming","iOS","Hyderabad",31,"Female",642,12,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",31.72254404,767.5182498,"High",1
995,29.36535469,"Basic",3,24,"Gaming","Feature","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",52.3711426,538.6880784,"High",0
2953,24.90254246,"Unlimited",0,37,"Social","iOS","Chennai",34,"Male",797,40,399,"UPI","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",36.98282235,320.8141987,"High",1
497,15.99218702,"Unlimited",3,8,"Utility","iOS","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",12.9,77.5,"4G",-57,"No",6.95949479,287.0976296,"Low",1
2873,40.15014793,"Unlimited",0,35,"Shopping","iOS","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",40.21758863,124.3863933,"High",1
1028,19.681889,"Postpaid",4,28,"Gaming","iOS","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",50.12502462,285.7791446,"High",1
727,5.618018495,"Unlimited",3,38,"Gaming","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",56.77576408,226.9736639,"High",1
2953,24.90254246,"Unlimited",0,37,"Social","iOS","Chennai",34,"Male",797,40,399,"UPI","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",36.98282235,320.8141987,"High",1
179,24.69114769,"Premium",2,37,"Streaming","iOS","Chennai",37,"Female",962,39,399,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.8892637,160.4578599,"High",1
727,5.618018495,"Unlimited",3,38,"Gaming","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",56.77576408,226.9736639,"High",1
1236,4.790366626,"Premium",1,12,"Utility","Android","Bangalore",33,"Female",874,22,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",19,72.8,"5G",-72,"No",12.3555904,687.4714971,"Medium",1
1135,43.22420352,"Premium",3,24,"Utility","Feature","Chennai",37,"Female",962,39,799,"UPI","App","Yes",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.8892637,160.4578599,"High",1
1782,33.21609419,"Unlimited",2,20,"Shopping","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",56.77576408,226.9736639,"High",1
175,17.26092319,"Premium",3,14,"Social","Android","Mumbai",26,"Female",190,14,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",16.95748576,225.4204667,"Medium",1
1226,5.669940995,"Basic",4,32,"Shopping","iOS","Bangalore",26,"Male",366,47,799,"Card","Retail Store","Yes",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",23.05743431,130.8052997,"Medium",1
2604,7.553854852,"Basic",2,45,"Utility","Feature","Delhi",24,"Female",988,53,499,"Card","Website","No",199,28,5,100,"Economy","10% Off",13,80.2,"5G",-68,"Yes",17.29366055,339.848554,"Medium",1
353,2.39547322,"Postpaid",0,35,"Utility","iOS","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",56.77576408,226.9736639,"High",1
500,15.24661405,"Postpaid",3,22,"Streaming","Android","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",6.95949479,287.0976296,"Low",1
2172,31.20139972,"Prepaid",2,41,"Social","Feature","Delhi",53,"Female",621,49,299,"UPI","App","No",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",27.35721699,923.9623096,"High",1
1177,43.62287191,"Unlimited",2,17,"Gaming","Android","Chennai",25,"Male",670,28,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",36.82997791,698.5330071,"High",1
