"data_usage_mb","call_duration_min","plan_type","dropped_calls","app_frequency","app_category","device_type","region_x","age","gender","arpu","tenure_months","amount","payment_mode","recharge_channel","successful","price","validity_days","data_limit_gb","sms_limit","plan_category","promo_offer","latitude","longitude","network_type","signal_strength_dbm","outage_flag","monthly_data_gb","monthly_calls_min","usage_category","complaint_flag_num"
512,3.685012047,"Postpaid",0,21,"Shopping","iOS","Hyderabad",31,"Female",642,12,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",31.72254404,767.5182498,"High",1
813,26.25049896,"Prepaid",0,39,"Utility","Android","Chennai",34,"Male",797,40,799,"Card","Retail Store","Yes",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",36.98282235,320.8141987,"High",1
2990,5.779167855,"Postpaid",0,3,"Streaming","iOS","Delhi",21,"Male",212,45,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",34.85146914,528.445362,"High",1
1782,33.21609419,"Unlimited",2,20,"Shopping","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",56.77576408,226.9736639,"High",1
1984,14.20860191,"Premium",1,2,"Utility","Feature","Hyderabad",20,"Female",898,40,799,"Wallet","Retail Store","Yes",499,56,50,1000,"Advanced","Free OTT",12.9,77.5,"4G",-57,"No",56.77576408,226.9736639,"High",1
1405,28.12487456,"Unlimited",2,45,"Streaming","Android","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",27.35721699,923.9623096,"High",1
1857,7.991252539,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,199,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863,124.3863933,"High",1
980,12.39964851,"Postpaid",3,5,"Utility","Feature","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",56.77576408,226.9736639,"High",1
1135,43.22420352,"Premium",3,24,"Utility","Feature","Chennai",37,"Female",962,39,399,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",30.8892637,160.4578599,"High",1
1585,38.50329444,"Premium",4,26,"Gaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",12.9,77.5,"4G",-57,"No",40.21758863,124.3863933,"High",1
1990,13.01689857,"Premium",4,7,"Gaming","iOS","Bangalore",38,"Male",941,10,799,"Wallet","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",49.41172658,407.6356165,"High",1
1923,26.86604606,"Postpaid",2,25,"Social","Android","Bangalore",38,"Male",941,10,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",19,72.8,"5G",-72,"No",49.41172658,407.6356165,"High",1
1128,16.838553,"Premium",1,22,"Shopping","Feature","Hyderabad",31,"Female",278,42,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",22.52453984,962.7644596,"Medium",0
142,12.32626161,"Basic",2,47,"Social","Android","Mumbai",52,"Female",493,29,499,"Card","Website","No",199,28,5,100,"Economy","10% Off",28.7,77.1,"4G",-81,"Yes",26.28869044,444.8246754,"High",1
348,24.10154803,"Basic",3,30,"Streaming","Android","Chennai",25,"Male",670,28,199,"Card","Retail Store","No",199,28,5,100,"Economy","10% Off",19,72.8,"5G",-72,"No",36.82997791,698.5330071,"High",1
225,7.149771668,"Unlimited",0,13,"Social","iOS","Delhi",53,"Female",621,49,799,"UPI","App","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",27.35721699,923.9623096,"High",1
1446,26.51263031,"Postpaid",1,32,"Utility","Feature","Bangalore",24,"Female",202,38,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",19,72.8,"5G",-72,"No",52.8337564,678.6330073,"High",1
1768,44.85538399,"Unlimited",4,23,"Utility","Feature","Delhi",24,"Female",988,53,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",17.29366055,339.848554,"Medium",1
1469,24.02000151,"Unlimited",2,20,"Streaming","Android","Hyderabad",32,"Female",869,13,799,"Cash","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",59.34626935,642.877662,"High",1
1540,30.01384519,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,199,"Wallet","Website","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.3711426,538.6880784,"High",0
1177,43.62287191,"Unlimited",2,17,"Gaming","Android","Chennai",25,"Male",670,28,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",13,80.2,"5G",-68,"Yes",36.82997791,698.5330071,"High",1
146,32.07902506,"Premium",3,16,"Gaming","Android","Bangalore",26,"Male",366,47,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",23.05743431,130.8052997,"Medium",1
798,6.299350148,"Basic",3,12,"Shopping","Android","Mumbai",26,"Female",190,14,799,"UPI","Retail Store","Yes",199,28,5,100,"Economy","10% Off",13,80.2,"5G",-68,"Yes",16.95748576,225.4204667,"Medium",1
1953,37.94714518,"Prepaid",0,12,"Shopping","iOS","Hyderabad",35,"Female",913,44,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",25.74587583,596.8424628,"High",1
1857,7.991252539,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,199,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863,124.3863933,"High",1
2394,4.051793491,"Unlimited",1,16,"Shopping","Feature","Hyderabad",35,"Female",913,44,799,"Card","Website","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",12.9,77.5,"4G",-57,"No",25.74587583,596.8424628,"High",1
640,11.83832112,"Premium",2,22,"Streaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",40.21758863,124.3863933,"High",1
1540,30.01384519,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,199,"Wallet","Website","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.3711426,538.6880784,"High",0
2995,8.531815821,"Premium",3,40,"Social","iOS","Mumbai",52,"Female",493,29,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",22.5,88.3,"3G",-58,"No",26.28869044,444.8246754,"High",1
1412,2.323977615,"Prepaid",4,6,"Gaming","Android","Delhi",53,"Female",621,49,299,"UPI","App","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",27.35721699,923.9623096,"High",1
512,3.685012047,"Postpaid",0,21,"Shopping","iOS","Hyderabad",31,"Female",642,12,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",31.72254404,767.5182498,"High",1
1953,37.94714518,"Prepaid",0,12,"Shopping","iOS","Hyderabad",35,"Female",913,44,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",25.74587583,596.8424628,"High",1
2365,34.82467019,"Prepaid",4,39,"Utility","iOS","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
1267,35.95358014,"Basic",4,42,"Shopping","Android","Mumbai",26,"Female",190,14,799,"UPI","Retail Store","Yes",199,28,5,100,"Economy","10% Off",19,72.8,"5G",-72,"No",16.95748576,225.4204667,"Medium",1
2690,19.64706356,"Prepaid",3,24,"Shopping","Android","Delhi",21,"Male",212,45,799,"UPI","Retail Store","Yes",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",34.85146914,528.445362,"High",1
1115,18.18792478,"Unlimited",0,18,"Shopping","Feature","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",50.12502462,285.7791446,"High",1
995,29.36535469,"Basic",3,24,"Gaming","Feature","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",22.5,88.3,"3G",-58,"No",52.3711426,538.6880784,"High",0
1649,14.66323971,"Premium",0,3,"Gaming","Feature","Chennai",37,"Female",962,39,799,"UPI","App","Yes",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",30.8892637,160.4578599,"High",1
798,6.299350148,"Basic",3,12,"Shopping","Android","Mumbai",26,"Female",190,14,799,"UPI","Retail Store","Yes",199,28,5,100,"Economy","10% Off",13,80.2,"5G",-68,"Yes",16.95748576,225.4204667,"Medium",1
140,13.1778441,"Premium",2,17,"Gaming","Android","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",50.12502462,285.7791446,"High",1
1857,7.991252539,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,199,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863,124.3863933,"High",1
2941,36.37464715,"Basic",0,22,"Utility","Android","Hyderabad",31,"Female",278,42,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",22.52453984,962.7644596,"Medium",0
727,5.618018495,"Unlimited",3,38,"Gaming","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",56.77576408,226.9736639,"High",1
334,32.35075381,"Prepaid",3,9,"Utility","Android","Chennai",43,"Female",306,13,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",9.672020245,910.5150711,"Low",1
1857,7.991252539,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,199,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863,124.3863933,"High",1
2845,11.86397407,"Prepaid",3,28,"Utility","Android","Hyderabad",45,"Male",214,38,799,"Wallet","Retail Store","Yes",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",50.12502462,285.7791446,"High",1
915,14.07321158,"Prepaid",2,49,"Streaming","iOS","Mumbai",54,"Female",487,40,499,"Wallet","Retail Store","Yes",299,28,10,300,"Standard","15% Off",28.7,77.1,"4G",-81,"Yes",6.95949479,287.0976296,"Low",1
1681,5.276616323,"Premium",1,5,"Streaming","Feature","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",50.12502462,285.7791446,"High",1
1815,3.66989358,"Unlimited",2,37,"Gaming","Android","Bangalore",26,"Male",366,47,299,"Cash","App","Yes",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",23.05743431,130.8052997,"Medium",1
1151,11.3929388,"Basic",3,30,"Utility","iOS","Hyderabad",45,"Female",445,56,499,"Wallet","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",40.96977913,117.739484,"High",0
1763,36.71992667,"Basic",3,25,"Utility","Android","Hyderabad",45,"Female",445,56,499,"Wallet","Retail Store","No",199,28,5,100,"Economy","10% Off",28.7,77.1,"4G",-81,"Yes",40.96977913,117.739484,"High",0
2365,34.82467019,"Prepaid",4,39,"Utility","iOS","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
2837,26.65478279,"Postpaid",0,33,"Social","iOS","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",52.3711426,538.6880784,"High",0
2669,42.81326646,"Postpaid",3,34,"Social","Feature","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
1649,14.66323971,"Premium",0,3,"Gaming","Feature","Chennai",37,"Female",962,39,799,"UPI","App","Yes",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",30.8892637,160.4578599,"High",1
1192,6.048750496,"Prepaid",3,5,"Streaming","Feature","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
349,24.37323114,"Postpaid",2,12,"Shopping","Feature","Chennai",25,"Male",670,28,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",36.82997791,698.5330071,"High",1
615,28.48160007,"Prepaid",1,49,"Gaming","Android","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.73161045,977.0925387,"Medium",1
1894,27.40839656,"Basic",2,36,"Streaming","Android","Hyderabad",32,"Female",869,13,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",59.34626935,642.877662,"High",1
254,14.6974953,"Postpaid",1,17,"Utility","Feature","Bangalore",24,"Female",202,38,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",52.8337564,678.6330073,"High",1
996,43.05920707,"Premium",4,22,"Shopping","iOS","Hyderabad",35,"Female",913,44,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",25.74587583,596.8424628,"High",1
1585,38.50329444,"Premium",4,26,"Gaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",12.9,77.5,"4G",-57,"No",40.21758863,124.3863933,"High",1
1649,14.66323971,"Premium",0,3,"Gaming","Feature","Chennai",37,"Female",962,39,399,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",30.8892637,160.4578599,"High",1
138,20.68142931,"Premium",4,13,"Gaming","Feature","Mumbai",19,"Female",164,17,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",19,72.8,"5G",-72,"No",3.06665924,922.8689259,"Low",1
492,32.55850426,"Unlimited",1,42,"Streaming","iOS","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",40.21758863,124.3863933,"High",1
2909,42.13776125,"Postpaid",0,5,"Utility","Android","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",14.73161045,977.0925387,"Medium",1
915,14.07321158,"Prepaid",2,49,"Streaming","iOS","Mumbai",54,"Female",487,40,499,"Wallet","Retail Store","Yes",299,28,10,300,"Standard","15% Off",28.7,77.1,"4G",-81,"Yes",6.95949479,287.0976296,"Low",1
353,2.39547322,"Postpaid",0,35,"Utility","iOS","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",56.77576408,226.9736639,"High",1
1681,5.276616323,"Premium",1,5,"Streaming","Feature","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",50.12502462,285.7791446,"High",1
2495,43.37341958,"Postpaid",3,49,"Utility","iOS","Mumbai",19,"Female",164,17,799,"Wallet","App","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",3.06665924,922.8689259,"Low",1
2837,26.65478279,"Postpaid",0,33,"Social","iOS","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",52.3711426,538.6880784,"High",0
2838,37.28749746,"Premium",3,3,"Shopping","Feature","Bangalore",42,"Female",529,33,499,"Card","Website","Yes",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",52.3711426,538.6880784,"High",0
1343,26.57334008,"Premium",3,28,"Gaming","Android","Mumbai",19,"Female",164,17,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",3.06665924,922.8689259,"Low",1
1540,30.01384519,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,199,"Wallet","Website","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.3711426,538.6880784,"High",0
497,15.99218702,"Unlimited",3,8,"Utility","iOS","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",12.9,77.5,"4G",-57,"No",6.95949479,287.0976296,"Low",1
1283,29.22336266,"Basic",0,41,"Social","Feature","Hyderabad",20,"Female",898,40,299,"Cash","Retail Store","Yes",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",56.77576408,226.9736639,"High",1
2978,18.22329651,"Prepaid",0,26,"Utility","iOS","Hyderabad",31,"Female",278,42,299,"Cash","Retail Store","Yes",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",22.52453984,962.7644596,"Medium",0
